epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.129,1.70862,2.85694,1.40614,0.83768,0.0524,0.10608,0.05485,1.56949,2.8703,1.23864,0.00027346,0.00027346,0.00027346
2,500.61,1.54541,1.8508,1.2946,0.60703,0.12859,0.20249,0.1179,1.49526,2.35776,1.2685,0.000540214,0.000540214,0.000540214
3,758.383,1.48182,1.68283,1.28637,0.52891,0.24593,0.25707,0.14824,1.39277,1.65796,1.20489,0.000795973,0.000795973,0.000795973
4,1013.56,1.44917,1.58837,1.25639,0.32076,0.23524,0.17899,0.10306,1.46278,2.10651,1.26857,0.00078352,0.00078352,0.00078352
5,1269.78,1.41782,1.50701,1.24663,0.51879,0.25203,0.27123,0.15466,1.42668,1.51009,1.23064,0.000767026,0.000767026,0.000767026
6,1526.82,1.38788,1.42849,1.22859,0.37866,0.32043,0.28405,0.16588,1.34183,1.50424,1.19401,0.000750533,0.000750533,0.000750533
7,1794.55,1.36262,1.3707,1.22165,0.42323,0.34976,0.28796,0.17121,1.33865,1.40477,1.20126,0.00073404,0.00073404,0.00073404
8,2051.23,1.34023,1.32835,1.20879,0.48592,0.34898,0.32437,0.19929,1.29851,1.32223,1.1778,0.000717546,0.000717546,0.000717546
9,2308.84,1.32449,1.28536,1.19026,0.54238,0.33615,0.37932,0.22766,1.27032,1.25204,1.16234,0.000701053,0.000701053,0.000701053
10,2565.67,1.27929,1.22451,1.17554,0.53144,0.41425,0.39948,0.22019,1.31355,1.23903,1.16928,0.000684559,0.000684559,0.000684559
11,2822.67,1.28373,1.21311,1.18369,0.5243,0.42172,0.42914,0.25862,1.25812,1.24697,1.15873,0.000668066,0.000668066,0.000668066
12,3081.85,1.27874,1.19169,1.17253,0.5759,0.33007,0.42156,0.25987,1.24544,1.16803,1.14659,0.000651573,0.000651573,0.000651573
13,3340.94,1.25833,1.16107,1.16441,0.5954,0.33559,0.44838,0.27486,1.19718,1.11293,1.13987,0.000635079,0.000635079,0.000635079
14,3599.78,1.27346,1.15987,1.16947,0.5772,0.43305,0.44986,0.26715,1.20813,1.08806,1.13264,0.000618586,0.000618586,0.000618586
15,3856.97,1.24257,1.0933,1.15073,0.53712,0.53086,0.52591,0.30308,1.20954,1.01087,1.13276,0.000602092,0.000602092,0.000602092
16,4113.73,1.22669,1.0986,1.15879,0.54944,0.40594,0.41445,0.25599,1.21672,1.09812,1.14418,0.000585599,0.000585599,0.000585599
17,4371.96,1.20062,1.07072,1.13778,0.44064,0.57152,0.47664,0.28977,1.17804,1.08535,1.1183,0.000569106,0.000569106,0.000569106
